"Video Title","Video URL","Thumbnail Image","Category","Hover Preview URL","ID","Created Date","Updated Date","Owner","OrderNumber","_manualsort_f4e23b2e-a2b9-49d9-9043-6169ca0331e3"
"The Witcher: Nightmare of the Wolf | Japan","https://www.youtube.com/embed/NjhPX1U_Fhg?si=5OyTejlbGlIpdcQo?rel=0","https://i.ytimg.com/vi/NjhPX1U_Fhg/maxresdefault.jpg","Trailer",,"a160f1c1-e4f6-42cd-87f2-3ab8d8ed5c44",2026-02-24T03:02:44Z,2026-02-24T09:53:20Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",3,9
"Bad Guys Vile City","https://www.youtube.com/embed/OsJXUHiJ9zc?si=0qZ5KzGPmrsjvC6o?rel=0","https://i.ytimg.com/vi/OsJXUHiJ9zc/maxresdefault.jpg","Trailer",,"a7a7fb4b-f65f-425a-ba71-5d1b69e8bbd5",2026-02-24T07:13:46Z,2026-02-24T09:54:11Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",21,24
"Glace","https://www.youtube.com/embed/6nLQ9NXwqPc?si=ntmTbvdlbzw1VBpT?rel=0","https://i.ytimg.com/vi/6nLQ9NXwqPc/maxresdefault.jpg","Teaser",,"b2753ca7-bda5-4b34-88ad-0ab9b656d596",2026-02-24T07:26:12Z,2026-02-24T09:54:30Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",29,29
"Transformers: War for Cybertron | Japan | Character","https://www.youtube.com/embed/-y9OjzW3KZc?si=z88IloSsMmszNFEH?rel=0","wix:image://v1/18409d_e53b298aa84648609ecf78cec9d9de91~mv2.png/Transformers%20Teaser.png#originWidth=1920&originHeight=1080","Teaser",,"b33804b8-98de-4bf7-b0a7-a7026f842bf1",2026-02-24T07:02:36Z,2026-02-24T09:54:02Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",18,13
"Personalized Anime Sizzle | Romance","https://www.youtube.com/embed/kgDusg8OYLs?si=qm6_j88Ll66d4LOk?rel=0","wix:image://v1/18409d_48616a98a037400cbb33a8ec51e28804~mv2.png/Anime%20Romance.png#originWidth=1920&originHeight=1080","Experimental",,"b80622f6-52b9-4d2c-b4e5-232fc108af83",2026-02-24T03:18:11Z,2026-02-24T09:53:51Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",14,15
"Flavorful Origins | Chosan","https://www.youtube.com/embed/FtGlT3yoR0Y?si=rSxSFF2Vq2HulBdV?rel=0","https://i.ytimg.com/vi/FtGlT3yoR0Y/maxresdefault.jpg","Trailer",,"b96ce9f1-ac58-43c9-89a5-e9ace3dd8738",2026-02-24T07:00:39Z,2026-02-24T09:53:57Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",16,19
"The Drug King","https://www.youtube.com/embed/Ad6CXptfkVA?si=mtsCNNDdB_7HlGF4?rel=0","https://i.ytimg.com/vi/Ad6CXptfkVA/maxresdefault.jpg","Trailer",,"c220d93d-1a56-4132-8568-03d49e1e9522",2026-02-24T03:02:06Z,2026-02-24T09:53:49Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",13,11
"O Mecanismo | Investigation","https://www.youtube.com/embed/hZVf6ES20dE?si=ZOnv86NtgL8e2faB?rel=0","wix:image://v1/18409d_32a1969fca3448f4b457d417fa0978ea~mv2.png/O%20Mechanismo%20Investigation.png#originWidth=3840&originHeight=2160","Trailer",,"c2950be1-3823-4957-b98e-2d6638d92f04",2026-02-24T06:57:04Z,2026-02-24T09:54:20Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",24,20
"Love, Death & Robots | Good Hunting","https://www.youtube.com/embed/-YB9Vwiyfdk?si=dK9LUulGHHmM2c1u?rel=0","wix:image://v1/18409d_f54b94112c4d4a6b94d761ca935fb645~mv2.png/Love,%20Death%20&%20Robots%20-%20Good%20Hunting2.png#originWidth=1920&originHeight=1080","Episodic",,"cd06ae8a-749e-41f5-9a3b-facd26937771",2026-02-24T01:33:52Z,2026-02-24T09:53:17Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",2,6
"School Nurse Files | Laugh","https://www.youtube.com/embed/Uugh0a4NbEI?si=FnhuH2Zm3QUrtIcA?rel=0","wix:image://v1/18409d_763d71f24fdd468580f9676c99c17944~mv2.png/School%20Nurse%20Files.png#originWidth=1920&originHeight=1080","Teaser",,"d14b0058-9b82-4fbc-87b1-943143445a83",2026-02-24T06:59:37Z,2026-02-24T09:53:34Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",6,5
"Flavorful Origins | Yunnan Cuisine","https://www.youtube.com/embed/hEGcAqi4poc?si=g67yRdiYREmkssN5?rel=0","wix:image://v1/18409d_b177b17c9f3a4ee593bb1531043af8c5~mv2.png/Flavorful%20Origins%20Yunnan4.png#originWidth=3840&originHeight=2160","Trailer",,"de1028be-68a0-49bd-8c2a-4f03204b77d7",2026-02-24T03:15:40Z,2026-02-24T09:53:59Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",17,18
"Kaali Khuhi","https://www.youtube.com/embed/kji5F02FemY?si=QDQhVudi8HFzDbAz?rel=0","https://i.ytimg.com/vi/kji5F02FemY/maxresdefault.jpg","Trailer",,"e3e6f476-6978-4062-9fb9-742e4a896ab1",2026-02-24T01:51:15Z,2026-02-24T09:54:09Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",20,22
"Resident Evil: Infinite Darkness","https://www.youtube.com/embed/DOzEApeMrNk?si=D6hS5HmiDz6CxKqf?rel=0","wix:image://v1/18409d_18d4f416b35b4dae95e0b0ef0bdcc762~mv2.png/Resident%20Evil%20Trailer.png#originWidth=1920&originHeight=1080","Trailer",,"e8b04f01-7e5e-4944-942d-0195e8923c63",2026-02-24T06:57:46Z,2026-02-24T09:53:36Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",7,2
"The Rise of Phoenixes","https://www.youtube.com/embed/DyAsfo6rEz0?si=1ByOHrZG-7LmUcod?rel=0","https://i.ytimg.com/vi/DyAsfo6rEz0/maxresdefault.jpg","Trailer",,"ebdd65f3-e5ea-4311-91e7-5d7219147a4e",2026-02-24T03:05:00Z,2026-02-24T09:54:14Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",22,23
"O Mecanismo | Corruption","https://www.youtube.com/embed/pVtBed3ein8?si=GmDo2At233tYjJ2O?rel=0","wix:image://v1/18409d_910f50dc80f4429c841ce67b3b011cba~mv2.png/O%20Mechanismo%20Corruption.png#originWidth=3840&originHeight=2160","Trailer",,"f1bb143e-fa0f-4eec-98fc-085ccbbca35e",2026-02-24T06:55:49Z,2026-02-24T09:54:17Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",23,21
"Bojack Horseman Season 4","https://www.youtube.com/embed/dE-yuRw4sug?si=oamSxWGBFruQTeVa?rel=0","wix:image://v1/18409d_a2dcb04c11a94ec8b8badf721290ff9d~mv2.png/Bojack%20Recap.png#originWidth=1920&originHeight=1080","Recap",,"fd8ff3d4-388b-4eab-a98b-2d77d0fbc67d",2026-02-24T03:20:38Z,2026-02-24T09:53:43Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",10,16
